21
0	20	20	20	7	-8	12	-17	-19	-9	19	20	-20	-18	-18	-20	-19	-1	20	20	-18	
20
0	9791	8076	6151	6634	4740	5222	3835	5134	6072	7545	6125	4171	3742	2846	2157	1877	2620	3222	10469	3925	
9815	9.99999e+008	2604	3721	4228	5816	5298	6724	5864	4435	4925	5266	7244	6486	7063	8287	8514	8660	7636	1790	11708	
8206	2495	9.99999e+008	2388	2351	4847	3680	5755	4247	2828	3317	3658	5626	4868	5446	6724	7076	6783	6029	3566	10100	
7855	3719	2319	9.99999e+008	2583	4183	3912	5090	4479	4907	5636	5359	5858	5100	5678	6294	6521	7015	7477	4318	10837	
5847	4526	2829	2248	9.99999e+008	2496	1329	3404	1896	2324	4746	3735	3275	2517	3095	4373	4725	4432	4894	5597	8254	
4460	5555	3761	1836	3417	9.99999e+008	2511	1695	2340	3924	6579	5568	3721	2963	2409	2898	3125	5290	5752	6154	8385	
4851	6299	4505	2580	3663	1168	9.99999e+008	2076	1516	3100	5753	4743	2895	2137	2800	3499	3727	4464	4926	6898	7875	
3373	6801	5007	3082	4226	1672	2250	9.99999e+008	2079	3663	6317	4566	2654	2224	1337	1563	1790	4056	4657	7400	7298	
4538	5174	3871	3290	2147	3159	1991	2316	9.99999e+008	1584	4770	3877	1965	1207	1786	3063	3420	3122	3584	6246	6944	
6811	3719	3034	2726	1724	3462	2295	4369	2860	9.99999e+008	3776	2765	4239	3481	4059	5337	5689	5396	5135	4791	9218	
7670	4960	5878	5570	4495	6291	5123	5467	3909	2844	9.99999e+008	2622	3669	4360	4938	6215	6571	6128	4992	5068	9064	
5721	6180	5495	5187	4185	5923	4756	5665	5123	2461	2092	9.99999e+008	4250	3821	3716	4387	4740	4179	3043	7160	7115	
4068	5987	4683	4102	2960	4664	3496	3859	3317	2398	3871	2451	9.99999e+008	2015	1912	2581	2935	2641	3103	7059	6465	
3753	6566	5263	4151	3539	2739	1571	1934	1392	2976	4501	3082	1170	9.99999e+008	1366	2268	2620	2327	2789	7638	6151	
2752	7793	6487	4563	4226	3151	2947	2247	2768	4204	5137	3718	1806	1376	9.99999e+008	1508	1862	3523	4125	8865	6677	
2017	7927	6133	4208	4915	2797	3376	1893	3206	4790	5826	4407	2495	2065	689	9.99999e+008	1139	2789	3391	8526	5942	
1745	8492	6698	4773	5715	3362	3941	2194	3772	5356	6626	5206	3253	2823	1526	837	9.99999e+008	2427	3029	9091	5670	
3525	7392	6088	5532	4365	4120	2952	3317	2775	3803	5275	3856	1902	1473	1368	2037	2392	9.99999e+008	1608	8464	4968	
2678	8526	7223	6668	5499	5256	4088	4451	3909	4938	6410	4991	3037	2607	2504	3173	3528	1136	9.99999e+008	9598	5039	
10670	1790	3328	4445	5078	6540	6370	7448	6936	5507	5996	6338	8316	7558	8135	8653	9238	9510	8708	9.99999e+008	12780	
3771	11608	10305	9724	8581	8509	7596	7606	7418	8019	9492	8073	6545	6116	6013	5926	5646	4645	5068	12680	9.99999e+008	

