28
0	1	1	-1	-3	-1	-1	2	1	1	-3	4	-2	1	-1	1	2	5	4	8	-1	2	-3	-1	-2	3	-6	-3	
20
0	3481	3420	4173	4170	3912	3965	4968	6268	5547	4937	5042	4416	2918	3904	5538	1968	1675	6405	7142	3235	924	6515	7336	3462	2268	5482	5066	
4186	9.99999e+008	1012	715	689	909	707	2165	2931	2066	2194	1561	1613	1519	1273	2057	2431	3953	2924	3661	5512	3867	3711	4532	1384	2456	2520	2263	
3174	319	9.99999e+008	1034	1008	1228	1026	2095	3250	2385	1820	1880	1543	560	1035	2376	1419	3859	3243	3980	5419	2855	3642	4463	372	2437	2612	2194	
3694	626	520	9.99999e+008	563	198	249	2602	3367	1915	2340	1735	2050	1080	1555	1926	1939	3314	3348	4085	4873	3375	4149	4970	892	1817	2944	2701	
4153	935	979	459	9.99999e+008	657	451	2044	2791	1680	2073	1172	1492	1539	1152	1629	2398	3773	2785	3522	5332	3834	3590	4411	1351	2276	2381	2142	
3955	737	780	261	367	9.99999e+008	53	2404	3158	1717	2433	1539	1852	1340	1513	1728	2199	3575	3152	3889	5134	3635	3951	4772	1152	2078	2748	2503	
3901	684	727	208	327	406	9.99999e+008	2366	3118	1679	2395	1499	1814	1287	1474	1690	2146	3522	3112	3849	5081	3582	3912	4733	1099	2025	2708	2464	
5007	1906	2187	2305	2149	2503	2297	9.99999e+008	1300	2913	904	967	1107	2395	1236	1399	3254	5619	1656	2306	7178	4688	2356	3177	1706	4122	521	906	
6207	3106	3388	3133	2977	3331	3125	1571	9.99999e+008	3741	2105	1796	2308	3595	2437	2227	4455	6447	2486	1503	8006	5889	2190	2385	2907	4950	967	1352	
3552	1312	1146	1022	1127	761	814	3165	3918	9.99999e+008	2966	2299	2613	1175	2162	2396	1804	2894	3912	4649	4453	3455	4712	5533	1518	1448	3508	3264	
4771	1648	1950	2363	2337	2557	2355	792	2092	3108	9.99999e+008	1759	1278	2158	1033	2190	3017	5457	2448	3098	7016	4453	1828	2649	1448	4034	1281	890	
4913	1812	2115	1595	1439	1793	1587	1545	1619	2507	1563	9.99999e+008	1680	2301	1341	993	3161	4909	1613	2350	6468	4595	3044	3865	1613	3412	1209	1594	
4707	1606	1886	2063	1907	2261	2055	855	2155	2639	884	1693	9.99999e+008	2095	937	2253	2955	5377	2511	3161	6936	4389	2403	3224	1407	3880	1370	954	
2976	563	502	1278	1252	1077	1130	2050	3350	2629	1994	2124	1498	9.99999e+008	987	2620	1223	3661	3487	4224	5221	2657	3597	4418	546	2239	2564	2149	
3972	863	1141	1510	1354	1708	1502	1254	2554	2417	1033	1471	702	1360	9.99999e+008	1970	2219	4659	2910	3560	6219	3653	2800	3621	663	3236	1767	1352	
5065	2021	1915	1395	1239	1593	1387	2351	2425	1514	2369	806	1981	2475	1642	9.99999e+008	3317	4408	2419	3156	5967	4770	3850	4671	1914	2962	2015	2400	
2025	1583	1522	2298	2272	2097	2150	3070	4370	3649	3014	3144	2518	1020	2007	3640	9.99999e+008	2713	4507	5244	4273	1706	4617	5438	1566	1741	3584	3169	
1667	3793	3626	3684	3788	3423	3476	5615	6579	5140	5446	4960	5063	3565	4552	5013	2616	9.99999e+008	6573	7310	1560	1571	7162	7983	3998	1648	6129	5713	
6458	3335	3636	3116	2960	3314	3108	1931	2005	3725	2453	1780	2654	3824	2863	2211	4683	6430	9.99999e+008	2081	7989	6140	3428	4249	3135	4933	1593	1978	
7696	4572	4873	4353	4197	4551	4345	3127	3201	4963	3690	3018	3891	5061	4101	3449	5921	7667	1238	9.99999e+008	9226	7378	4624	5445	4373	6170	2789	3174	
3150	5275	5108	5166	5271	4905	4958	7097	8062	6622	6928	6443	6545	5047	6034	6495	4098	2131	8056	8793	9.99999e+008	3053	8644	9465	5480	3130	7611	7195	
1242	2557	2496	3272	3246	3018	3071	4044	5344	4623	3986	4118	3492	1994	2981	4614	1045	1893	5481	6218	3452	9.99999e+008	5591	6412	2538	1371	4558	4142	
6599	3476	3778	4091	3935	4289	4083	2351	2252	4667	1828	3318	2837	3986	2713	3750	4845	7285	3914	2676	8844	6281	9.99999e+008	821	3276	5862	2317	1524	
7694	4593	4873	5049	4892	5247	5041	3309	2421	5795	2956	4217	3795	5082	3841	4648	5940	8363	4083	2845	9922	7376	1128	9.99999e+008	4394	6866	3386	2652	
3323	200	502	915	889	1109	907	1727	3027	2266	1448	1733	1175	710	663	2229	1569	4009	3096	3834	5568	3005	3273	4094	9.99999e+008	2586	2240	1825	
2266	2377	2211	2087	2192	1827	1880	4231	4983	3544	4031	3364	3679	2240	3227	3417	1669	1497	4977	5714	3056	2169	5778	6599	2583	9.99999e+008	4573	4330	
5259	2158	2438	2614	2458	2812	2606	605	1149	3190	1157	1572	1360	2647	1489	2004	3505	5928	2261	2091	7487	4941	1835	2656	1959	4431	9.99999e+008	385	
5213	2112	2392	2567	2411	2765	2559	827	1321	3143	861	1794	1313	2601	1442	2226	3459	5881	2483	2269	7440	4894	1529	2350	1912	4384	793	9.99999e+008	

