82
0	1	1	1	-1	1	-4	-4	-7	-4	-1	-1	-6	-6	-4	-7	-4	-7	-7	-2	-5	4	1	1	-7	-3	-1	1	1	-7	-8	-5	1	6	-5	-2	-5	-7	-7	-4	-7	4	-3	-7	-7	-5	-1	3	1	9	-3	-4	-2	-8	-1	3	1	7	-5	3	5	4	-3	-7	-2	3	-5	-5	-5	-5	-7	1	-7	-1	-3	-7	1	-1	2	-3	1	-6	
20
0	2268	2234	2665	2594	3106	4374	4165	4703	3401	3753	4762	5734	7316	7549	7798	8090	8281	8618	9183	8462	8727	9212	9504	9717	9942	10324	10731	11289	11326	11389	11753	12001	10233	10639	10942	11080	11273	11415	11573	11717	11961	11564	11354	11193	10634	11151	11420	11957	12186	11099	11088	11281	11331	11450	11634	11849	12281	12484	12538	12730	11732	11751	11938	11996	12660	13172	12925	12601	12256	12295	12427	12612	12839	12929	13172	12837	13067	13771	13330	13264	12059	
2120	9.99999e+008	1527	621	1704	1566	2866	2655	3193	2358	2592	3602	4574	6156	6389	6638	6930	7121	7458	8022	7301	7567	8051	8344	8557	8782	9164	9571	10129	10166	10229	10593	10841	9073	9479	9781	9920	10113	10255	10413	10557	10801	10404	10193	10032	9474	9991	10259	10797	11026	9939	9928	10121	10171	10290	10473	10689	11120	11324	11378	11587	10572	10591	10778	10836	11500	12012	11811	11483	11096	11135	11267	11452	11679	11769	12012	11677	11907	12611	12170	12104	10899	
1894	1555	9.99999e+008	1400	803	1315	2583	2374	2911	1609	1962	2971	3943	5525	5758	6007	6299	6490	6827	7392	6671	6936	7421	7713	7926	8151	8533	8940	9498	9535	9598	9962	10210	8442	8848	9151	9289	9482	9624	9782	9926	10170	9773	9563	9402	8843	9360	9629	10166	10395	9308	9297	9490	9540	9659	9843	10058	10490	10693	10747	10939	9941	9960	10147	10205	10869	11381	11134	10810	10465	10504	10636	10821	11048	11138	11381	11046	11276	11980	11539	11473	10268	
2490	621	1051	9.99999e+008	1083	945	2243	2034	2572	1737	1971	2981	3953	5535	5768	6017	6309	6500	6837	7401	6680	6946	7430	7723	7936	8161	8543	8950	9508	9545	9608	9972	10220	8452	8858	9160	9299	9492	9634	9792	9936	10180	9783	9572	9411	8853	9370	9638	10176	10405	9318	9307	9500	9550	9669	9852	10068	10499	10703	10757	10949	9951	9970	10157	10215	10879	11391	11143	10819	10475	10514	10646	10831	11058	11147	11391	11056	11286	11990	11549	11483	10278	
2221	1701	769	1080	9.99999e+008	782	2050	1841	2379	1077	1429	2438	3410	4992	5225	5474	5766	5957	6294	6859	6138	6403	6888	7180	7393	7618	8000	8407	8965	9002	9065	9429	9677	7909	8315	8618	8756	8949	9091	9249	9393	9637	9240	9030	8869	8310	8827	9096	9633	9862	8775	8764	8957	9007	9126	9310	9525	9957	10160	10214	10406	9408	9427	9614	9672	10336	10848	10601	10277	9932	9971	10103	10288	10515	10605	10848	10513	10743	11447	11006	10940	9735	
2961	1566	1083	945	789	9.99999e+008	1300	1091	1629	792	1028	2037	3010	4592	4825	5074	5366	5557	5893	6458	5737	6003	6487	6780	6993	7218	7600	8007	8565	8602	8665	9028	9277	7509	7915	8217	8356	8549	8691	8849	8993	9237	8840	8629	8468	7910	8427	8695	9233	9462	8375	8364	8557	8607	8726	8909	9125	9556	9760	9814	10006	9008	9027	9214	9271	9936	10447	10200	9876	9532	9571	9703	9888	10115	10204	10448	10113	10343	11047	10606	10540	9335	
3804	2407	1926	1786	1632	843	9.99999e+008	822	1360	1247	1395	2404	3376	4958	5191	5440	5732	5923	6260	6825	6104	6369	6854	7146	7359	7584	7966	8373	8931	8968	9031	9395	9643	7875	8281	8584	8722	8915	9057	9215	9359	9603	9206	8996	8835	8276	8793	9062	9599	9828	8741	8730	8923	8973	9092	9276	9491	9923	10126	10180	10372	9374	9393	9580	9638	10302	10814	10567	10243	9898	9937	10069	10254	10481	10571	10814	10479	10709	11413	10972	10906	9701	
4013	2616	2135	1995	1841	1052	209	9.99999e+008	673	1456	1604	2613	3585	5167	5400	5649	5941	6132	6469	7034	6313	6578	7063	7355	7568	7793	8175	8582	9140	9177	9240	9604	9852	8084	8490	8793	8931	9124	9266	9424	9568	9812	9415	9205	9044	8485	9002	9271	9808	10037	8950	8939	9132	9182	9301	9485	9700	10132	10335	10389	10581	9583	9602	9789	9847	10511	11023	10776	10452	10107	10146	10278	10463	10690	10780	11023	10688	10918	11622	11181	11115	9910	
