21
0	-5	1	2	-4	-2	2	-3	-1	-1	3	-3	-1	-2	2	1	3	2	1	-1	5	
20
0	808	1552	2186	1545	2229	2821	3428	3431	3922	3647	3385	3119	2189	2836	3114	2907	4159	4260	4440	4489	
808	9.99999e+008	744	1378	739	1423	2015	2622	2623	3114	2840	2578	2312	1382	2029	2307	2100	3352	3453	3633	3682	
1151	344	9.99999e+008	1363	433	1117	1709	2316	2318	2809	2535	2272	2007	1077	1724	2002	1794	3047	3148	3328	3376	
1592	796	452	9.99999e+008	885	885	1590	2084	2398	2889	2985	2723	2457	1527	2174	2452	2245	3497	3598	3778	3711	
1545	739	542	1466	9.99999e+008	684	1276	1883	1886	2377	2725	2462	2345	1415	2062	2340	2132	3384	3486	3666	3199	
2229	1423	1157	1106	684	9.99999e+008	705	1199	1674	2165	2512	2250	2577	2099	2746	3024	2816	3616	3718	3898	2987	
2831	2025	1819	1799	1286	716	9.99999e+008	1035	2026	2517	2865	2602	2929	2701	3347	3626	3214	3969	4070	4250	3339	
3270	2462	2258	1978	1725	1154	1043	9.99999e+008	1312	1803	2150	1888	2215	3138	2885	2919	2499	3254	3356	3536	2625	
3343	2536	2340	2721	1798	1642	2009	1270	9.99999e+008	491	872	610	1004	3009	1855	1889	1469	2032	2134	2314	1349	
3789	2982	2786	3167	2244	2088	2455	1716	446	9.99999e+008	589	636	1030	3035	1881	1915	1495	1749	1851	2031	1064	
4215	2886	2979	3593	2670	2514	2881	2142	872	427	9.99999e+008	567	673	2678	1524	1558	1138	1160	1262	1442	896	
3415	2607	2700	3331	2408	2252	2618	1880	610	690	314	9.99999e+008	394	2399	1245	1279	859	1434	1535	1715	1156	
3021	2213	2306	2940	2301	2646	3013	2274	1325	1405	1027	764	9.99999e+008	2005	851	885	465	1539	1640	1820	1870	
2443	1635	1728	2363	1724	2408	3000	2705	1754	1835	1458	1196	930	9.99999e+008	647	925	718	1970	2071	2251	2300	
2878	2070	2163	2797	2158	2842	3434	2879	1928	2008	1632	1369	1104	1862	9.99999e+008	317	386	2143	2245	2425	2473	
3087	2412	2506	3140	2501	3185	3681	2942	1991	2071	1695	1432	1167	2205	346	9.99999e+008	449	2206	2308	2488	2536	
3063	2255	2348	2982	2343	2865	3232	2493	1542	1622	1246	983	718	2047	386	420	9.99999e+008	1757	1859	2039	2087	
4146	3338	3431	4065	3426	3681	4048	3309	2039	1593	1167	1434	1125	3130	1976	2010	1590	9.99999e+008	1011	1191	1329	
4587	3779	3872	4506	3867	3731	4098	3359	2089	1644	1217	1484	1566	3571	2417	2451	2031	1415	9.99999e+008	180	811	
5030	4222	4271	4652	3729	3573	3940	3201	1931	1485	1484	1748	2009	4014	2860	2894	2474	1856	798	9.99999e+008	631	
4653	3846	3650	4031	3108	2952	3319	2580	1310	866	1241	1502	1896	3901	2747	2781	2361	1751	1677	1857	9.99999e+008	

