59
0	1	-1	5	3	-4	6	-6	5	1	1	-5	-1	-8	3	2	-6	1	1	-8	-2	-6	1	-8	-7	3	-5	1	8	8	-2	-2	1	-3	-8	8	2	-7	1	1	16	-7	-5	2	5	6	6	-5	9	4	5	-4	-4	4	-2	-7	-4	-7	-2	
16
0	1542	1923	3307	2367	2153	3357	3450	5021	4451	5096	4800	5142	4814	4791	4950	4807	6494	5388	5708	6388	5351	5733	5695	5922	6373	6699	6640	6733	7160	7413	6600	6909	7451	6838	7467	7547	7322	7948	7910	8737	8790	7914	7865	8809	8846	8780	8386	8975	8891	9472	8841	8732	9194	9287	9378	9728	5043	7089	
1659	9.99999e+008	1716	4123	2160	1326	3150	2625	4194	3624	4269	3973	4315	3986	3964	4125	3981	5667	4562	4883	5560	4525	4907	4869	5095	5547	5872	5813	5906	6333	6587	5774	6082	6624	6012	6640	6720	6495	7121	7083	7910	7964	7087	7038	7982	8019	7953	7559	7865	8064	8645	8014	7905	8367	8460	8267	8901	4216	6264	
1930	1983	9.99999e+008	2421	457	2215	1434	3431	5085	4513	5158	4862	5205	4377	4854	5014	4593	6059	4966	5306	5951	4992	5412	5336	5600	5974	5911	5956	6399	6777	7014	6194	5964	6507	6436	6825	6906	6632	7004	7501	7793	7887	7506	7456	7910	7902	8274	7978	7601	8483	8623	8311	8201	8634	8608	8003	8641	5105	6686	
3721	3267	1986	9.99999e+008	1347	4006	724	3334	5237	5899	6544	6199	5254	5267	4904	5044	4496	6802	4870	5209	6494	4895	5315	5239	5503	5877	6280	6221	6302	6680	6917	6098	5868	6410	6339	7036	7116	6822	6907	7408	7696	7791	7414	7364	7813	7805	8280	7886	8056	8391	8526	8341	8232	8694	8787	8459	9096	6229	6593	
2374	2427	639	2865	9.99999e+008	2659	1835	2974	4876	5152	5301	5116	4894	3920	4543	4683	4136	5602	4509	4849	5494	4535	4955	4879	5143	5517	5920	5861	5942	6320	6557	5737	5507	6050	5979	6676	6756	6461	6547	7047	7336	7430	7054	7004	7453	7445	7919	7526	7698	8031	8166	7981	7871	8333	8426	8100	8737	4882	6229	
3159	2042	3236	5267	3693	9.99999e+008	4670	1299	2870	2866	3511	3166	2990	2662	2639	2799	2655	4342	3236	3557	4236	3199	3581	3543	3769	4221	4546	4487	4580	5007	5261	4448	4756	5298	4686	5314	5394	5169	5795	5757	6584	6513	5761	5712	6656	6693	6627	6233	7210	6738	7319	6688	6579	7041	7134	7831	7575	3409	4938	
5491	4374	5256	7482	4617	3371	9.99999e+008	2610	4512	5175	5820	5475	4530	4971	4180	4320	3772	6078	4146	4485	5770	4171	4591	4515	4779	5153	5556	5497	5578	5956	6193	5374	5144	5686	5615	6312	6392	6098	6183	6684	6972	7067	6690	6640	7089	7081	7556	7162	8138	7667	7802	7617	7508	7970	8063	8829	8504	5613	5869	
2881	1764	2958	4989	3402	761	4392	9.99999e+008	2569	2565	3210	2865	2689	2361	2338	2498	2355	4041	2935	3256	3935	2898	3280	3242	3468	3920	4245	4186	4279	4706	4960	4147	4384	4926	4386	5013	5093	4868	5423	5456	6212	6213	5461	5411	6329	6321	6326	5933	6914	6438	7019	6388	6278	6740	6833	7530	7274	3108	4637	
3708	2591	3473	5699	2834	1588	4059	827	9.99999e+008	1645	2287	1846	1119	1342	1228	1479	1244	3022	1825	2145	2916	1788	2169	2132	2358	2810	3135	3076	3169	3596	3849	3037	3586	4128	3275	3903	3983	3758	4625	4350	5414	5102	4350	4300	5245	5523	5216	4822	5799	5327	5908	5277	5168	5630	5723	6420	6164	2089	3526	
