41
0	-1	1	-1	1	-1	-1	-1	-1	-1	1	1	1	-2	-1	-2	-1	-1	-1	-1	1	-1	-1	-1	-2	-2	1	-2	-1	-1	-2	1	-2	-1	-2	-2	-3	-2	1	-1	-11	
20
0	969	679	1450	1537	1220	1371	1545	2074	2454	2166	2585	2578	3793	2643	2551	2546	1728	1627	1386	1783	2626	2132	3351	5602	7059	1643	1703	2087	3240	2768	1902	2470	1831	3994	6690	9738	3153	2205	5348	1735	
1328	9.99999e+008	1212	1033	1162	1669	1810	1445	1550	2002	1642	1667	1661	3005	1674	2128	3046	2198	2095	1851	2284	3128	2631	3850	6458	7915	1543	1603	1987	2259	1799	2403	2971	2620	4490	8018	8769	2184	3156	6299	2686	
1176	1267	9.99999e+008	1143	1461	1143	1064	1239	1767	2112	1859	2276	2271	3486	2941	2245	1870	1444	1320	1078	1107	1950	1457	2675	5284	6740	1337	1397	1781	2931	2860	1226	1794	1822	3318	6885	9455	2857	2361	5504	1891	
1988	1048	1402	9.99999e+008	570	1061	1202	837	624	1004	716	1135	1128	2343	2327	1529	2427	1590	1487	1242	1675	2520	2013	3391	5999	7456	935	995	1133	1788	1717	1794	2362	3164	3882	7472	8312	1714	3686	6904	3291	
1418	1073	832	385	9.99999e+008	719	861	496	1009	1354	1101	1518	1513	2728	2712	1501	2097	1249	1146	901	1334	2179	1672	3034	5642	7099	594	653	1038	2173	2102	1453	2021	2594	3541	7131	8697	2099	3116	6334	2721	
1756	1411	727	723	745	9.99999e+008	579	782	1341	1664	1432	1850	1838	3060	3050	1788	1775	937	835	594	1012	1856	1362	2738	5346	6803	880	940	1324	2511	2440	1131	1699	2520	3223	6813	9035	2437	3088	6231	2618	
1904	1559	1318	871	486	742	9.99999e+008	203	769	1086	855	1271	1259	2488	3094	1209	1804	956	853	608	1041	1886	1648	2826	5434	6891	301	361	745	2224	2431	1160	1728	3080	3248	6838	8636	2194	3602	6820	3207	
2269	1924	1266	1236	851	539	365	9.99999e+008	1073	1249	1220	1636	1624	2792	3459	1006	1601	753	650	406	839	1683	1446	2623	5232	6688	98	158	542	2528	2796	958	1526	3059	3045	6635	8940	2559	3627	6770	3157	
2456	1463	1870	903	1038	1157	979	933	9.99999e+008	781	444	859	847	1719	2683	1305	2215	1363	1263	1019	1452	2295	2059	3237	5845	7302	711	771	909	1455	2020	1571	2139	3632	3658	7248	7867	1783	4154	7372	3759	
2738	1738	2152	1188	1320	1444	1259	1220	681	9.99999e+008	391	808	795	1666	2630	1585	2495	1643	1543	1300	1732	2575	2339	3518	6126	7583	991	1051	1189	1402	1967	1851	2419	3914	3938	7528	7814	1730	4435	7654	4041	
2351	1347	1767	797	935	1053	1194	829	616	996	9.99999e+008	745	737	2136	2239	1521	2419	1582	1479	1234	1667	2512	2005	3383	5991	7448	927	987	1125	1413	1576	1786	2354	3529	3874	7464	7924	1339	4051	7269	3656	
2726	1728	2140	1175	1308	1423	1249	1204	670	1049	381	9.99999e+008	383	1627	2215	1576	2485	1634	1534	1289	1722	2565	2329	3507	6115	7572	982	1041	1180	1003	1551	1841	2409	3902	3929	7519	7775	1315	4424	7642	4029	
