51
0	-2	-4	1	1	-3	-2	1	-2	-3	2	-8	1	3	2	4	1	-1	1	-7	-4	1	-5	-3	-6	-6	-6	-1	7	1	5	1	1	-4	-1	3	2	-2	3	1	3	-2	3	-2	1	2	-2	1	-2	-4	-5	
30
0	2206	1938	1904	1405	2161	2498	2811	1136	987	900	1038	2514	1069	1038	1341	1276	1826	853	328	991	1851	1126	1036	1541	1519	1398	1400	1807	1813	1830	2172	3033	1884	2081	2407	2134	3167	3087	3063	3730	4585	6153	6550	7080	6650	6819	7397	9498	9650	9977	
1757	9.99999e+008	269	652	802	1740	2533	3729	1176	1709	1598	1836	594	1907	2121	2535	2764	3056	2080	2085	2748	2924	2354	2701	2769	3276	3155	3157	3564	3319	3335	3663	4616	3550	3746	4100	3799	4091	4707	4728	5410	6276	7395	7871	8322	7892	8378	8956	11058	11209	11597	
1489	269	9.99999e+008	383	533	1471	2264	3460	908	1441	1329	1568	576	1638	2116	2530	2759	3051	1812	1817	2480	2655	2086	2433	2501	3008	2887	2889	3296	3302	3319	3658	4522	3282	3478	3832	3531	3822	4439	4460	5142	6008	7126	7603	8053	7624	8109	8687	10789	10940	11329	
1457	652	383	9.99999e+008	501	1439	2232	3428	874	1407	1297	1534	959	1606	1904	2318	2547	2839	1778	1785	2448	2623	2052	2399	2467	2976	2855	2857	3264	3101	3117	3446	4398	3248	3444	3798	3497	3790	4406	4426	5108	5974	7094	7570	8021	7591	8077	8655	10757	10908	11296	
956	802	533	501	9.99999e+008	938	1732	2927	375	908	797	1035	1109	1106	1584	1998	2227	2519	1279	1284	1947	2123	1553	1900	1968	2475	2354	2356	2763	2769	2786	3126	3989	2749	2945	3299	2998	3290	3906	3927	4609	5475	6594	7070	7521	7091	7577	8155	10257	10408	10796	
1685	1740	1471	1439	938	9.99999e+008	943	2641	1104	1197	1526	1503	2047	1835	2313	2727	2956	3248	1710	2013	2676	2366	1984	2331	2399	3069	3072	3085	3437	3477	3515	3855	4663	3180	3376	3730	3429	3533	4149	4358	5040	5906	6837	7313	7764	7334	7820	8398	10500	10651	11039	
1920	2681	2412	2380	1880	1645	9.99999e+008	1698	1532	1450	2279	1651	2988	2366	2546	2958	3187	3481	1897	2248	2910	2034	2171	2518	2572	2820	2823	2895	3624	3664	3750	4086	4850	2931	3127	3481	3180	3605	4141	4109	4791	5657	6909	7385	7836	7406	7670	8248	10347	10498	10915	
2958	3791	3522	3490	2989	3280	1698	9.99999e+008	2639	2189	3386	2689	4098	3473	3568	3872	3806	4356	2511	2678	2849	1695	2173	2250	2203	2795	2799	2871	3356	3396	3731	4032	4582	2609	2182	2906	1761	2113	2722	2681	3363	5631	5391	5868	6318	5889	6400	6978	9080	9231	9612	
692	1176	908	874	375	1025	1450	2646	9.99999e+008	533	747	660	1484	834	1312	1726	1955	2247	904	1020	1683	1840	1178	1525	1593	2211	2090	2092	2493	2505	2516	2854	3719	2374	2570	2924	2623	3008	3584	3552	4234	5100	6312	6788	7239	6809	7295	7873	9975	10126	10474	
961	1688	1419	1387	887	1178	1513	2179	539	9.99999e+008	1286	692	1995	1373	1572	1875	1811	2361	513	863	1526	1373	787	1134	1202	1872	1875	1935	2240	2280	2365	2707	3466	1983	2179	2533	2232	2541	3158	3161	3843	4709	5845	6322	6772	6342	6828	7406	9508	9659	10048	
747	1598	1329	1297	797	1526	2197	3393	747	1228	9.99999e+008	1281	1905	309	787	1201	1430	1722	1600	1075	1238	2554	1873	1738	2243	2094	1973	1975	1968	2009	1991	2329	3194	2459	2655	2982	2709	3742	3662	3637	4240	4773	6344	6782	7655	7225	7394	7972	10073	10225	10552	
269	1971	1703	1669	1170	1926	2263	2929	901	750	745	9.99999e+008	2279	835	895	1307	1536	1830	1122	597	1260	2120	1395	1305	1810	1788	1667	1669	2076	2082	2099	2435	3302	2153	2350	2676	2403	3291	3356	3332	3999	4854	6422	6819	7349	6919	7088	7666	9767	9919	10246	
2052	579	563	946	1096	2034	2827	4023	1469	2002	1892	2129	9.99999e+008	2165	2345	2759	2988	3280	2373	2380	3043	3218	2647	2994	3062	3571	3450	3452	3819	3542	3558	3887	4839	3843	4039	4393	4092	4385	5002	5021	5703	6569	7689	8166	8616	8187	8672	9250	11352	11503	11892	
438	2140	1872	1838	1339	2095	2432	3098	1070	919	636	972	2190	9.99999e+008	478	892	1121	1413	1291	766	929	2245	1564	1429	1934	1785	1664	1666	1659	1700	1682	2020	2885	2150	2346	2673	2400	3433	3353	3328	3931	4464	6035	6473	7346	6916	7085	7663	9764	9916	10243	
1342	2377	2361	2160	1828	2558	3229	4002	1779	1823	1032	1876	2586	904	9.99999e+008	414	643	935	2058	1670	1569	2808	2332	1992	2497	2346	2227	2229	1985	1696	1415	1542	2697	2713	2910	3021	2963	3996	3916	3632	3951	4484	6054	6492	7469	7060	7648	8226	10327	10479	10530	
1300	3001	2733	2540	2200	2939	3293	3961	1931	1782	1413	1833	2966	1286	958	9.99999e+008	229	528	1852	1628	1363	2602	2126	1786	2291	2140	2020	2021	1698	1400	1209	1128	2491	2507	2702	2729	2755	3788	3708	3426	3745	4278	5848	6286	7263	6854	7440	8018	10119	10271	10324	
1577	3280	3011	2816	2478	3216	3571	4237	2210	2058	1690	2112	3243	1563	1234	476	9.99999e+008	550	2219	1905	1696	2937	2493	2121	2626	2475	2355	2356	2010	1714	1440	900	2554	2841	3037	3043	3090	4123	4043	3658	3976	4509	6080	6518	7494	7086	7775	8353	10393	10544	10555	
