15
0	-4	10	3	-3	-12	-6	5	-4	2	-5	4	1	-2	-4	
30
0	800	2100	1000	700	200	700	1800	600	1900	900	1100	1200	1300	900	
1200	1e+009	2400	1800	1300	1400	1100	1300	1400	2200	1200	1300	600	2100	1200	
2100	2000	1e+009	2100	2800	2300	1800	2900	2200	900	1300	3200	2400	1300	1600	
1200	2000	2700	1e+009	1800	1400	1900	2900	1200	2600	2100	2300	2300	1600	2100	
700	800	2500	1300	1e+009	800	1100	1200	900	2200	1200	500	600	1600	1200	
100	900	2200	1100	700	1e+009	800	1900	700	2000	1000	1200	1300	1400	1000	
700	600	1400	1400	1400	900	1e+009	1800	1000	1300	400	1700	1000	1700	500	
2100	1500	2800	2700	2200	2300	1900	1e+009	2300	2600	1700	1200	1300	3000	1500	
1200	1000	2000	600	1800	1300	1500	2100	1e+009	2000	1700	2100	1400	900	1700	
2100	2000	700	1800	2600	2100	1800	2800	1900	1e+009	1300	3100	2400	1300	1500	
1000	900	1400	1600	1700	1200	700	1700	1300	1200	1e+009	2100	1300	1900	400	
1100	1100	3000	1700	1200	1300	1600	1400	1400	2700	1700	1e+009	900	2100	1700	
1200	600	2400	1800	1300	1400	1000	1000	1400	2200	1200	1000	1e+009	2100	1200	
1200	2000	1100	1000	1800	1300	1900	3000	1200	1300	1800	2200	2400	1e+009	2000	
900	800	1500	1500	1500	1100	600	1600	1100	1300	500	2000	1200	1800	1e+009	

