13
0	-1	-3	-1	-3	1	-4	-5	-1	-5	-1	-2	5	
30
0	2800	2100	1700	1100	3900	1300	3700	3300	3800	1700	2000	600	
3000	1e+009	1200	1200	2100	1400	3800	2000	1800	1400	1700	1600	2500	
1800	1400	1e+009	800	900	2400	2600	3300	2400	2400	1000	400	1300	
1900	1200	600	1e+009	1000	2200	2900	2900	2800	2200	600	1000	1400	
1400	2100	1300	900	1e+009	3100	2300	3800	2800	3100	1000	1300	1100	
4600	2100	2800	2900	3700	1e+009	5400	1600	2900	1000	3400	3200	4100	
1600	3300	2500	2100	1200	4200	1e+009	5000	3800	4200	2200	2400	1300	
3600	1900	2900	2900	3800	1000	3800	1e+009	1300	2000	3400	3100	3500	
3100	1600	2600	2600	2800	1800	3400	1500	1e+009	2700	3100	2000	3000	
4200	1500	2700	2300	3200	600	4500	1500	2000	1e+009	2800	3000	3700	
1600	1700	1000	600	400	2700	2600	3400	2900	2700	1e+009	900	1200	
2500	1000	700	1100	1600	2400	3300	2900	2600	2400	1200	1e+009	2000	
600	2600	1800	1400	1200	3500	1600	4300	3000	3500	1500	1700	1e+009	

