18
0	-2	-4	1	-3	-1	2	-2	-2	1	1	2	-4	3	-2	1	-3	-3	
30
0	1439	874	581	2173	3067	4249	2638	5773	1930	2764	2472	5095	2160	1437	7532	7281	979	
1366	9.99999e+008	1513	752	1366	2588	3770	2385	5293	2046	1957	2588	5211	2276	1334	7648	7397	1094	
367	1617	9.99999e+008	760	2351	3246	4427	2816	5951	2108	2942	2650	5273	2338	1616	7710	7459	1157	
616	858	763	9.99999e+008	1592	2486	3668	2057	5192	1349	2183	1891	4514	1579	1326	6951	6700	398	
3386	2652	3533	2771	9.99999e+008	1222	2404	1748	3927	2116	1597	2658	5281	2346	3032	7292	7041	2192	
3520	2736	3666	2905	1857	9.99999e+008	1667	1651	2865	2020	1500	1683	4274	2250	2295	6070	5819	2897	
2741	1957	2887	2126	1395	2483	9.99999e+008	2239	3732	3307	1986	3849	6323	3537	1516	8119	7868	2469	
2813	1709	2960	2198	2580	1209	2390	9.99999e+008	3914	1543	340	2085	4708	1774	2781	6943	6692	1619	
5277	4493	5424	4662	3615	2523	2887	4174	9.99999e+008	4543	4023	4206	6441	4773	4052	8237	7986	5005	
3378	2332	3525	2763	2836	1465	2646	1738	4170	9.99999e+008	1980	542	3165	829	3273	5602	5351	2184	
2591	1487	2738	1976	2358	987	2168	428	3692	1321	9.99999e+008	1863	4486	1551	2559	6721	6470	1397	
2895	1790	3042	2280	2895	1685	2866	1255	4390	1130	1452	9.99999e+008	2623	1094	2863	5060	4809	1701	
5641	4535	5788	5026	5641	4431	5612	4001	6462	3270	4197	2746	9.99999e+008	2908	5609	2853	3232	4447	
3236	2131	3383	2621	3236	2026	3207	1597	4732	888	1793	1430	3721	9.99999e+008	3204	6157	5906	2042	
1807	441	1954	1193	747	1968	3151	1590	4674	2487	1337	3029	5652	2717	9.99999e+008	8038	7787	1535	
8251	7146	8398	7636	7973	6278	7654	6611	8373	6177	6808	5356	2907	5815	8219	9.99999e+008	1186	7057	
7739	6634	7886	7124	7461	5766	7142	6099	7862	5861	6296	4844	3285	5501	7707	1432	9.99999e+008	6545	
1194	460	1341	579	1194	2416	3598	2213	5121	1873	1785	2415	5038	2103	1162	7475	7224	9.99999e+008	

