14
0	-3	1	2	-5	2	-10	-2	-2	3	-1	-6	-9	2	
10
0	3700	4000	3900	4900	3900	4800	3800	4000	2600	4600	3800	3000	3500	
4300	1e+009	1300	300	2400	1200	1300	2600	1600	1200	1000	600	1400	800	
4500	900	1e+009	900	2100	900	1000	1900	1300	2100	700	1400	2200	500	
4500	300	1300	1e+009	2200	1200	1000	2500	1600	1500	700	800	1600	800	
5500	2200	2600	2000	1e+009	3100	1200	3600	3200	2500	1800	2000	2600	2700	
3700	800	900	1100	2900	1e+009	1800	1500	500	2000	1500	1300	1700	400	
5300	1400	1800	1100	2000	2300	1e+009	2700	2300	2200	900	1800	2400	1900	
3500	2200	1700	2400	3600	1500	2400	1e+009	1400	3000	2400	2600	2700	1800	
4300	800	1100	1000	3100	1000	2000	1500	1e+009	1600	1700	1200	1300	600	
3300	1600	2600	1800	2300	2500	2200	3000	2700	1e+009	2100	1200	800	2100	
4700	1100	1900	1100	1500	2300	1200	2900	2500	1700	1e+009	1200	1800	1900	
3700	1500	2600	1700	2600	2500	2100	3000	2600	700	2000	1e+009	800	2100	
3100	2200	3200	2400	3100	3100	2800	3600	3300	1100	2700	1800	1e+009	2700	
4000	400	500	700	2500	400	1400	1800	800	1600	1100	900	1700	1e+009	

