27
0	2	-2	1	-4	-3	-4	2	1	-4	4	4	2	-2	-3	3	-3	-4	3	-3	-1	-2	-4	-7	3	-6	-11	
20
0	1100	2500	800	1500	3900	2400	1900	3000	1400	2900	2900	2800	3400	2200	2800	2700	3100	3000	1600	2600	3300	800	2100	3400	2700	2500	
1300	1e+009	1400	1500	500	2800	3700	3100	1900	400	2500	2100	4000	4200	1100	1700	2400	2000	1900	500	3300	4600	1400	1000	4600	1700	3800	
2600	1800	1e+009	2700	1800	2500	3500	3000	1200	1300	1200	1400	3800	3500	1600	1600	1300	600	1800	1800	2600	4500	2600	1300	4400	1600	3600	
1000	1700	3000	1e+009	2100	4400	2700	2100	3200	2000	3100	3200	3000	3700	2600	3400	3000	3600	3600	2100	2900	3600	1400	2700	3600	3300	2800	
800	400	1700	1400	1e+009	3100	3200	2600	2300	700	2800	2400	3500	4200	1500	2000	2800	2300	2200	900	3400	4100	1000	1300	4100	2000	3300	
4000	3200	2700	4100	3200	1e+009	5500	5000	3300	2700	3100	3400	5900	5600	2800	3000	3200	2400	3200	3300	4600	6600	4000	2500	6500	3000	5700	
1000	2000	3400	1700	2400	4800	1e+009	2800	3900	2300	3800	3900	500	4400	3100	3700	3600	4000	3800	2400	3600	4300	1700	2900	1100	3600	200	
2400	3200	1900	2700	3200	3700	1600	1e+009	1200	2700	1100	1200	2000	1700	3000	1600	900	2000	1900	3100	800	2700	3200	2700	2600	2900	1800	
3000	2100	1000	3000	2200	2700	2900	2300	1e+009	1600	800	800	3200	2900	1900	1200	900	900	1500	2100	1900	3900	2900	1600	3800	1900	3000	
1800	900	1100	1800	1000	2500	3900	3400	1600	1e+009	2100	1800	4300	3900	800	1400	2100	1700	1600	1400	3000	5000	1500	700	4900	1400	4100	
3700	2900	1600	3800	2900	3400	3000	2400	900	2400	1e+009	900	3300	3000	2700	1300	600	1700	1600	2800	2000	4100	3700	2400	3900	2600	3100	
2900	3000	1300	3200	3000	3500	2100	1600	1000	2500	900	1e+009	2500	2200	2800	1000	700	1800	1300	3000	1200	3200	3700	2500	3100	2800	2300	
500	1500	2900	1200	1900	4300	2900	2300	3400	1800	3300	3400	1e+009	3900	2600	3200	3100	3500	3400	2000	3100	3800	1200	2500	3800	3200	3000	
2600	3700	3500	2900	4100	5300	2300	1700	2800	4000	2700	2800	2600	1e+009	4600	3200	2500	3600	3500	4200	2400	1100	3400	4300	3200	4500	2400	
1700	800	1900	1700	900	3200	4100	3500	2400	800	2900	2600	4400	4700	1e+009	2100	2800	2300	2300	1300	3700	5000	1600	1100	5000	2100	4200	
3200	2300	600	3200	2400	2900	2900	2300	800	1900	1300	900	3200	2900	2200	1e+009	1200	1200	300	2300	1900	3900	3100	1900	3800	2100	3000	
3200	2800	1000	3500	2800	3500	2400	1800	900	2300	900	300	2700	2400	2600	700	1e+009	1600	1000	2800	1500	3500	3600	2300	3400	2600	2500	
2100	1200	700	2100	1300	2000	3500	3000	1300	1400	1800	1400	3900	3600	1100	1000	1700	1e+009	1200	1200	2600	4600	2000	700	4500	1000	3700	
3700	2900	1100	3800	2900	3400	3100	2500	1000	2400	1500	1100	3400	3100	2700	600	1400	1700	1e+009	2900	2100	4100	3700	2400	4000	2700	3200	
1700	800	1300	1700	900	2700	4100	3500	1800	200	2300	2000	4400	4100	1000	1600	2300	1800	1800	1e+009	3100	5000	1700	900	5000	1500	4200	
2500	3200	1500	2800	3300	3800	1700	1100	1300	2800	1200	1200	2000	1700	3100	1200	1000	2100	1500	3200	1e+009	2700	3200	2700	2600	3000	1800	
3500	4500	4300	3800	4900	6200	3100	2500	3600	4900	3600	3600	3400	1500	5500	4000	3300	4500	4300	5000	3300	1e+009	4200	5100	4000	5400	3200	
900	400	1700	1400	800	3100	3300	2800	2200	800	2700	2400	3700	4300	1500	2000	2700	2300	2200	900	3500	4200	1e+009	1300	4300	2000	3400	
2000	1100	1000	2000	1200	2300	3800	3300	1500	1500	2000	1700	4200	3800	1100	1300	2000	1400	1500	1500	2900	4900	1900	1e+009	4800	1300	4000	
500	1600	2900	1200	2000	4300	2900	2300	3400	1900	3300	3400	3200	3900	2700	3200	3100	3500	3400	2100	3000	3700	1200	2500	1e+009	3200	3000	
2200	1300	900	2200	1400	3200	3500	2900	1400	700	1900	1500	3800	3500	1500	600	1800	1400	500	500	2500	4500	2200	1300	4400	1e+009	3600	
1100	2100	3400	1800	2500	4900	200	2900	4000	2400	3900	4000	600	4500	3200	3800	3700	4000	3900	2600	3700	4400	1800	3000	1200	3700	1e+009	

