45
0	3	-1	-3	-5	3	-4	-7	-3	2	2	-7	-3	-2	3	2	-4	-5	-5	-6	-2	6	4	1	1	1	6	1	-6	-11	-2	-1	-3	2	1	-3	-3	2	1	-4	-1	-6	-5	1	-4	
30
0	3030	3504	3394	3127	2890	3069	3362	1548	2858	2852	2624	3785	1913	2689	3325	1899	3074	3071	1883	1612	2834	1572	1817	2602	1189	1593	2523	2800	3241	3009	3153	1159	2253	2940	4083	2597	3144	2187	2148	3647	2414	3822	3216	3164	
3271	9.99999e+008	2902	2396	1494	1706	1156	1729	2250	681	938	2264	3184	1909	1310	2723	2155	451	1257	2239	1968	2129	1737	1806	2033	2258	1767	1706	2725	1608	2408	2368	2403	1683	1809	2450	1183	634	2165	2134	2014	1728	2189	1840	3340	
3880	3064	9.99999e+008	829	1962	4353	2225	1864	2477	2999	2277	4734	324	4036	2800	600	2382	2677	3465	4332	4062	3101	2561	2435	1640	3723	3459	3426	1191	2076	1492	1080	3024	2190	4024	2139	3839	3290	2133	4578	2434	4198	1444	3745	1049	
3891	2375	742	9.99999e+008	1225	3616	1488	1127	2705	2262	1588	3997	1024	3828	2112	739	2610	1940	2728	4159	3887	2898	2358	2261	1889	3520	3333	3223	1514	1339	872	460	3024	2139	3287	1310	3102	2553	2382	3866	1745	3461	615	3008	1450	
3534	2018	1389	647	9.99999e+008	3259	1130	769	2348	1904	1231	3639	1671	3470	1755	1386	2253	1582	2370	3802	3529	2541	2000	1904	2131	3162	2976	2866	2161	982	1519	1107	2666	1782	2929	1391	2744	2195	2263	3508	1387	3103	695	2650	2097	
2606	2123	3842	3100	2453	9.99999e+008	2118	2688	3493	1680	1938	1368	4124	1210	2309	3839	3398	1497	628	1354	1299	2288	2936	3048	3275	1545	1724	1865	3967	2567	3650	3327	2522	2926	356	3409	1342	1769	3407	1201	2973	951	3148	631	4550	
2850	1027	1981	1239	592	2172	9.99999e+008	827	1830	819	240	2731	2263	2598	763	1978	1735	497	1498	2928	2657	1857	1316	1386	1613	2478	2292	2182	2305	707	1878	1466	1982	1263	2055	1548	1872	1323	1745	2600	1112	2195	1287	1778	2689	
3211	1388	2084	1342	695	2488	361	9.99999e+008	2176	1135	601	2870	2366	2701	1124	2081	2081	813	1601	3031	2760	2218	1677	1732	1959	2839	2559	2498	2623	810	1981	1569	2343	1610	2158	1651	1975	1426	2091	2739	1215	2334	1390	1881	2792	
1540	1854	2295	2186	1951	3264	1893	2186	9.99999e+008	1682	1675	2714	2577	2004	1513	2116	351	2243	2855	2300	2030	1658	1117	641	1426	1732	1428	1983	1624	2065	1801	1944	993	1077	3366	2907	2688	2488	1011	2546	2470	2836	2646	3484	2239	
3536	443	3167	2660	1759	1971	1421	1994	2515	9.99999e+008	1204	2530	3430	2174	1576	2988	2420	716	1522	2504	2233	2394	2002	2071	2298	2523	2032	1971	2990	1873	2673	2633	2668	1949	2074	2715	1448	900	2430	2400	2279	1994	2454	2105	3605	
2633	810	2221	1479	832	2391	240	1067	1612	634	9.99999e+008	2950	2503	2586	546	2085	1517	716	1738	2916	2646	1640	1099	1168	1395	2261	2074	1965	2087	947	1770	1706	1765	1046	2295	1788	1993	1444	1527	2819	1352	2414	1527	2018	2702	
2621	2242	3961	3219	2572	763	2237	2807	3354	1799	2057	9.99999e+008	4243	1098	2429	3958	3259	1616	747	1307	1186	1659	2665	2910	3394	1432	1297	1236	3737	2686	3769	3446	2095	3045	866	3528	713	1857	3123	608	3092	203	3267	1032	4352	
3770	2974	324	1110	2243	4424	2506	2145	2519	2801	2472	4435	9.99999e+008	3725	2632	723	2424	2958	3746	4086	3815	2777	2237	2111	1316	3399	3212	3102	1233	2358	1774	1362	2903	1866	4303	2420	4120	3571	1809	4266	2629	4446	1725	4026	1091	
2065	2202	3921	3179	2532	1259	2197	2767	2955	1759	2017	710	4203	9.99999e+008	2563	3918	2860	1576	1242	900	629	1630	2266	2511	3296	876	1054	1207	3494	2646	3704	3405	1852	2946	1362	3487	684	1828	2880	542	3051	837	3227	1527	4109	
2430	607	2062	1759	1112	1931	520	1347	1410	309	303	2490	2343	2383	9.99999e+008	1883	1315	871	1482	2713	2443	1437	896	966	1193	2058	1872	1762	1885	1227	1568	1711	1562	843	2034	2068	1674	1125	1325	2359	1452	1954	1807	2111	2500	
3756	2536	430	718	1943	4140	1989	1844	2353	2383	1749	4622	723	3912	2272	9.99999e+008	2258	2465	3445	4208	3938	3059	2519	2548	1759	3621	3335	3384	1067	2057	1381	969	2900	2300	4002	2028	3719	3170	2012	4454	1906	4163	1333	3725	925	
1783	1503	1944	1835	1600	2953	1542	1835	734	1331	1325	2636	2226	1926	1162	1765	9.99999e+008	1893	2504	2222	1952	1307	766	290	1075	1860	1350	1632	1273	1714	1450	1593	916	726	3056	2556	2610	2137	660	2468	2120	2758	2295	3133	1888	
3016	869	2432	1690	1043	1675	708	1278	1995	427	684	2234	2714	2144	1056	2429	1900	9.99999e+008	1109	2474	2203	2324	1482	1551	1778	2493	2002	1941	2470	1157	2153	1917	2148	1429	1666	1999	1418	869	1910	2103	1563	1698	1738	1389	3085	
3566	1527	3246	2504	1857	1071	1522	2092	2896	1085	1342	1683	3528	2042	1714	3243	2801	901	9.99999e+008	2252	2131	2668	2383	2452	2679	2377	2306	2245	3371	1971	3054	2731	3049	2330	633	2813	1722	1173	2811	1553	2377	1148	2552	629	3954	
1537	2868	4469	3932	3285	1672	2863	3520	2778	2425	2683	1376	4540	851	3229	4291	2873	2242	1656	9.99999e+008	980	2296	2279	2524	3309	1271	1067	1873	3507	3399	3771	3914	1865	2959	1775	4241	1350	2494	2893	520	3805	999	3980	1941	4122	
1619	3024	3754	3644	3354	2000	3019	3589	2509	2581	2839	1532	4035	822	2937	3575	2414	2089	1984	792	9.99999e+008	1943	1820	2065	2850	430	608	1519	3048	3246	3259	3403	1406	2500	2103	4088	1506	2159	2434	1057	3652	1328	3827	2269	3663	
2354	1854	3512	3074	2427	2205	2089	2662	2269	1614	1872	1656	3793	946	2418	3333	2174	1384	2188	1276	1006	9.99999e+008	1580	1825	2610	1296	805	325	2808	2541	3017	3161	1167	2261	2308	3383	1630	1455	2195	1488	2947	1783	3122	2473	3423	
1534	1608	2049	1939	1704	2938	1646	1939	838	1436	1429	2387	2331	1677	1267	1870	743	1997	2749	1973	1703	1411	9.99999e+008	394	1180	1288	1101	1736	1378	1819	1555	1698	666	830	3039	2660	2361	2242	764	2219	2224	2509	2399	3204	1993	
1984	1852	2293	2184	1949	3263	1891	2184	444	1680	1674	2712	2575	2002	1511	2114	349	2242	2853	2298	2028	1656	1115	9.99999e+008	1424	1712	1426	1981	1622	2063	1799	1942	991	1075	3364	2905	2686	2486	1009	2544	2469	2834	2644	3482	2237	
2454	1658	956	847	1741	3108	1696	1974	1239	1485	1479	3117	1238	2407	1316	777	1122	2047	2659	2737	2467	1461	921	795	9.99999e+008	2083	1896	1786	692	1856	462	605	1587	550	3211	2150	2841	2292	876	2949	1522	3130	1455	3288	1307	
1189	2857	3330	3220	2953	1902	2895	3188	2087	2483	2678	1434	3611	724	2515	3151	1992	2012	1886	694	423	1844	1399	1643	2429	9.99999e+008	531	1421	2626	3067	2835	2979	985	2079	2005	3909	1408	2082	2013	959	3473	1230	3648	2171	3241	
1621	2350	3144	3034	2524	1835	2189	2759	1900	1908	2165	1286	3425	576	2329	2965	1805	1481	1818	872	602	1354	1212	1456	2242	510	9.99999e+008	930	2440	2638	2649	2793	798	1892	1938	3480	1260	1551	1826	1118	3044	1408	3219	2103	3055	
2029	1906	3387	3126	2479	2256	2140	2714	2143	1666	1923	1708	3668	998	2469	3208	2048	1436	2240	1328	1057	449	1455	1699	2485	1070	884	9.99999e+008	2683	2593	2892	3036	1041	2135	2359	3435	1682	1506	2069	1540	2999	1835	3174	2525	3298	
2826	2350	1001	1289	2433	3800	2073	2415	1286	2177	1888	3554	1033	2844	2008	571	1191	2549	3351	3140	2870	2153	1613	1481	692	2554	2268	2478	9.99999e+008	2548	983	1127	1833	1242	3903	2599	3528	2984	945	3386	2044	3676	1904	3851	615	
2552	1036	1621	879	624	2586	435	859	1366	883	249	3145	1903	2506	773	1487	1271	911	1933	2836	2566	1560	1019	922	1149	2181	1994	1885	1814	9.99999e+008	1172	760	1685	800	2490	1580	2219	1670	1281	3014	406	2609	1319	2213	2329	
3391	2461	494	1011	1991	4065	1914	1893	1851	2308	1674	4118	776	3408	2197	315	1756	2390	3412	3704	3434	2478	1938	1587	1017	3100	2832	2803	642	2105	9.99999e+008	913	2398	1567	3969	2076	3644	3095	1510	3950	1830	4088	1381	3692	1202	
3501	1984	906	552	1777	3534	1382	1679	2263	1831	1197	4093	1188	3453	1720	727	2168	1859	2880	3783	3513	2507	1967	1870	1429	3129	2942	2832	1054	1891	412	9.99999e+008	2633	1748	3437	1862	3167	2618	1922	3962	1354	3557	1167	3160	1614	
1490	1872	2345	2235	1968	2725	1910	2203	1102	1700	1693	2176	2626	1466	1531	2166	1007	2261	2708	1762	1492	1675	414	658	1444	1077	890	1820	1642	2083	1850	1994	9.99999e+008	1094	2828	2924	2150	2441	1028	2008	2488	2298	2663	2993	2257	
2797	2000	1250	1141	2036	3450	1846	2268	1619	1828	1661	3460	1532	2750	1659	1071	1502	2322	3040	3080	2810	1804	1263	1175	381	2425	2239	2129	1072	2150	756	900	1929	9.99999e+008	3553	2445	3183	2634	1255	3292	1817	3473	1749	3624	1687	
