55
0	4	5	4	-7	-6	-6	-4	1	-4	-4	-1	-7	5	-1	-5	-2	1	-2	-6	3	-3	4	5	4	2	-4	-6	-3	-6	-3	-2	3	-2	-6	-3	-4	-1	-1	-7	-4	-4	-4	-3	1	-1	2	5	7	2	-5	-1	-4	-6	-1	
10
0	4200	4978	5911	9312	9645	7929	9246	7147	6935	6439	7701	8270	9360	8270	8454	9843	9333	9069	9928	9884	10496	10425	11103	12373	12915	12104	12950	13030	12348	13087	14023	13626	13948	14458	14275	14561	16591	13079	14001	12672	13118	12555	12213	12226	11695	10944	9791	11586	7232	5559	7408	11645	12931	12822	
3518	9.99999e+008	1014	1799	5800	6133	4440	5757	3658	3446	2950	4212	4781	5871	4443	4965	6354	5844	5580	6368	6057	6693	6674	7351	8569	9112	8301	9123	9203	8848	9587	10196	10126	10449	10739	10784	10971	12971	9590	10512	9183	9569	9065	8724	8737	8206	7432	6302	8097	3032	2070	3919	8156	9442	9333	
4801	1765	9.99999e+008	933	5240	5573	3880	5197	3098	2857	2391	3623	4192	5282	4222	4405	5794	5284	5020	5879	5836	6447	6376	7054	8324	8866	8055	8902	8982	8299	9038	9975	9577	9870	10379	10195	10482	12382	9001	9923	8594	8980	8476	8135	8148	7617	6531	5713	7538	3090	1511	3330	7567	8853	8774	
5623	2588	1658	9.99999e+008	5134	5467	3774	5090	2992	2482	2285	3248	3817	4975	3874	4299	5687	5177	4913	5773	5488	6124	6105	6782	8000	8543	7732	8554	8634	8079	8818	9627	9357	9444	9828	9728	10015	11915	8575	9497	8127	8514	8010	7669	7681	7191	5633	5287	7100	3949	2334	2955	7100	8427	8336	
8806	5510	4580	3943	9.99999e+008	945	2812	4128	2029	3022	3513	3788	4146	4587	3092	3336	4725	4215	3951	4810	4706	5342	5307	5985	7218	7761	6950	7772	7852	7230	7969	8845	8508	9165	9455	9500	9687	11687	8306	9228	7899	8285	7781	7440	7453	6922	6170	5018	6812	4144	3357	3496	6872	8158	8048	
8428	5132	4202	3565	1012	9.99999e+008	2432	3748	1650	2644	3135	3410	3767	4208	2713	2956	4345	3835	3571	4431	4327	4963	4927	5605	6839	7382	6571	7393	7473	6851	7590	8466	8129	8787	9077	9122	9309	11309	7927	8849	7520	7907	7403	7061	7074	6543	5792	4639	6434	3766	2979	3117	6493	7779	7670	
7849	4553	3623	2985	1360	1693	9.99999e+008	3169	1070	2065	2556	2831	3188	3629	2134	2377	3766	3256	2992	3851	3748	4384	4348	5026	6260	6803	5992	6814	6894	6271	7010	7887	7549	8207	8497	8542	8729	10729	7348	8270	6941	7328	6824	6482	6495	5964	5212	4060	5855	3187	2400	2538	5914	7200	7091	
8241	4946	4015	3378	1753	2086	2245	9.99999e+008	1463	2458	2948	3224	3581	4022	2527	2770	4159	3648	3384	4244	4141	4777	4741	5418	6653	7196	6385	7207	7287	6664	7403	8280	7942	8600	8890	8935	9122	11122	7741	8663	7334	7720	7216	6875	6888	6357	5605	4453	6248	3579	2792	2931	6307	7593	7483	
8644	5348	4418	3780	2155	2488	795	2112	9.99999e+008	2860	3351	3626	3185	3626	2131	1320	2709	2198	1934	2794	3445	3362	3291	3968	5238	5781	4970	5924	6004	5201	5940	6918	6479	7949	8237	8505	8826	10726	7345	8267	6938	7324	6820	6479	6492	5961	5209	4057	5852	3982	3195	3333	5911	7197	6188	
7290	4011	3080	2581	2977	3310	1617	2934	835	9.99999e+008	2013	1625	2195	3108	1613	2142	3531	3021	2757	3537	3227	3862	3843	4521	5739	6281	5470	6293	6373	6017	6756	7366	7295	7696	8153	8023	8310	10339	6827	7749	6420	6866	6303	5961	5974	5443	4692	3539	5334	2628	1857	1333	5393	6679	6570	
