20
0	-3	2	4	1	-2	6	2	1	-2	-3	2	-5	4	-4	-2	1	-2	2	-1	
10
0	1463	3088	3199	3241	2645	1645	1883	2342	3030	2048	1192	3788	845	2684	2804	2626	2911	455	3743	
1189	9.99999e+008	3811	3922	3898	3383	2739	2620	3436	3768	2786	1930	4445	1156	3422	1341	3364	3648	1644	4481	
2549	3422	9.99999e+008	557	1357	246	3220	1345	3917	1912	636	1806	1434	3212	1685	4762	1508	1967	2229	2408	
2740	3613	193	9.99999e+008	1133	438	3412	1537	4108	1970	827	1997	1212	3404	1461	4953	1700	1743	2420	2184	
3090	3954	980	1093	9.99999e+008	1226	3753	1919	4449	946	1616	2191	547	3744	438	5295	2488	719	2762	1051	
2977	3850	428	539	1244	9.99999e+008	3648	1773	4345	2081	1064	2234	1323	3640	1572	5190	1936	1854	2657	2295	
1661	2781	3610	3721	3696	3182	9.99999e+008	2419	697	3566	2585	1728	4243	1455	3220	4121	3162	3447	1366	4279	
1789	2662	1548	1659	2221	1120	2461	9.99999e+008	3156	1371	525	777	2422	2451	1744	4002	967	1971	1469	2803	
2404	3525	4353	4464	4440	3925	744	3162	9.99999e+008	4310	3328	2472	4987	2198	3964	4126	3906	4191	2110	5023	
2753	3626	1640	1753	1038	1886	3425	1590	4120	9.99999e+008	2113	1862	1585	3415	562	4966	2334	789	2433	1621	
1913	2786	1025	1136	1819	597	2585	710	3281	1616	9.99999e+008	1172	1897	2577	1989	4126	1212	2216	1593	2870	
1599	2472	2240	2351	1973	1812	2271	697	2966	1844	1217	9.99999e+008	2520	2261	1497	3813	1440	1724	1279	2556	
3544	4408	1286	1573	480	1532	4207	2373	4903	1400	1897	2645	9.99999e+008	4198	892	5749	2794	1173	3216	1357	
975	1701	3483	3594	3568	3055	1971	2292	2668	3439	2458	1601	4115	9.99999e+008	3092	2948	3035	3319	927	4151	
2644	3516	1078	1191	476	1324	3315	1481	4011	509	1714	1753	1023	3306	9.99999e+008	4857	2224	282	2324	1059	
2530	1341	5151	5262	5238	4723	4080	3961	4384	5108	4126	3270	5785	2496	4762	9.99999e+008	4704	4989	2985	5821	
2969	3842	1855	1968	1253	2101	3640	1806	4336	404	2329	2078	1800	3631	777	5182	9.99999e+008	1004	2649	1836	
3041	3914	1463	1576	861	1709	3713	1878	4408	906	2099	2150	1408	3703	398	5255	2622	9.99999e+008	2721	1445	
320	1415	2618	2729	2705	2190	1590	1428	2287	2575	1593	737	3252	1061	2229	2755	2171	2456	9.99999e+008	3288	
3915	4787	1934	2047	954	2180	4586	2752	5282	1780	2570	3024	1288	4577	1271	6128	3442	1553	3595	9.99999e+008	

